,Date,Species,Trap,Latitude,Longitude,Block,AddressAccuracy,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Trange,relative_humidity,Year,Month,Week,Day
18,2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,22,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
19,2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,11,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
20,2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,17,9,3,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
21,2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,22,8,5,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
22,2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,53,5,2,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
23,2007-05-29,CULEX RESTUANS,T153,41.907645,-87.760886,15,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
24,2007-05-29,CULEX RESTUANS,T159,41.732984,-87.649642,89,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
25,2007-06-05,CULEX PIPIENS,T002,41.95469,-87.800991,41,9,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
26,2007-06-05,CULEX PIPIENS,T045,41.9216,-87.666455,15,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
27,2007-06-05,CULEX PIPIENS,T048,41.867108,-87.654224,11,8,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
28,2007-06-05,CULEX PIPIENS,T096,41.731922,-87.677512,22,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
29,2007-06-05,CULEX PIPIENS,T135,41.662014,-87.724608,42,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
30,2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,41,9,3,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
31,2007-06-05,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,79,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
32,2007-06-05,CULEX PIPIENS/RESTUANS,T031,41.801498,-87.763416,50,9,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
33,2007-06-05,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,15,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
34,2007-06-05,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,11,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
35,2007-06-05,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,21,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
36,2007-06-05,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,11,9,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
37,2007-06-05,CULEX PIPIENS/RESTUANS,T092,41.869216,-87.627561,11,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
38,2007-06-05,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,17,9,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
39,2007-06-05,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,22,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
40,2007-06-05,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,42,8,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
41,2007-06-05,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,53,9,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
42,2007-06-05,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,40,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
43,2007-06-05,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,65,8,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
44,2007-06-05,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,42,9,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
45,2007-06-05,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,15,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
46,2007-06-05,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,70,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
47,2007-06-05,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,35,9,3,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
48,2007-06-05,CULEX PIPIENS/RESTUANS,T162,41.725517,-87.614258,93,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
49,2007-06-05,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,37,8,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
50,2007-06-05,CULEX RESTUANS,T002,41.95469,-87.800991,41,9,5,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
51,2007-06-05,CULEX RESTUANS,T009,41.981964,-87.812827,91,8,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
52,2007-06-05,CULEX RESTUANS,T011,41.944869,-87.832763,36,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
53,2007-06-05,CULEX RESTUANS,T015,41.974089,-87.824812,79,8,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
54,2007-06-05,CULEX RESTUANS,T016,42.011601,-87.811506,72,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
55,2007-06-05,CULEX RESTUANS,T019,41.94983,-87.698457,38,9,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
56,2007-06-05,CULEX RESTUANS,T025,41.979243,-87.750938,49,9,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
57,2007-06-05,CULEX RESTUANS,T028,41.986921,-87.689778,58,9,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
58,2007-06-05,CULEX RESTUANS,T033,41.906638,-87.701431,14,9,3,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
59,2007-06-05,CULEX RESTUANS,T045,41.9216,-87.666455,15,8,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
60,2007-06-05,CULEX RESTUANS,T046,41.891118,-87.654491,25,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
61,2007-06-05,CULEX RESTUANS,T048,41.867108,-87.654224,11,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
62,2007-06-05,CULEX RESTUANS,T049,41.896282,-87.655232,11,8,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
63,2007-06-05,CULEX RESTUANS,T050,41.919343,-87.694259,21,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
64,2007-06-05,CULEX RESTUANS,T054,41.921965,-87.632085,22,8,3,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
65,2007-06-05,CULEX RESTUANS,T086,41.688324,-87.676709,22,8,4,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
66,2007-06-05,CULEX RESTUANS,T089,41.723195,-87.64997,10,5,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
67,2007-06-05,CULEX RESTUANS,T090,41.868077,-87.666901,11,9,7,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
68,2007-06-05,CULEX RESTUANS,T096,41.731922,-87.677512,22,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
69,2007-06-05,CULEX RESTUANS,T135,41.662014,-87.724608,42,8,4,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
70,2007-06-05,CULEX RESTUANS,T141,41.961743,-87.76007,53,9,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
71,2007-06-05,CULEX RESTUANS,T142,41.953067,-87.776792,40,8,3,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
72,2007-06-05,CULEX RESTUANS,T143,41.999129,-87.795585,65,8,9,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
73,2007-06-05,CULEX RESTUANS,T145,41.878114,-87.629798,43,3,3,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
74,2007-06-05,CULEX RESTUANS,T146,41.958271,-87.702575,42,9,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
75,2007-06-05,CULEX RESTUANS,T147,41.932094,-87.700117,28,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
76,2007-06-05,CULEX RESTUANS,T150,42.006858,-87.675919,18,9,2,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
77,2007-06-05,CULEX RESTUANS,T151,41.916265,-87.800515,70,8,10,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
78,2007-06-05,CULEX RESTUANS,T152,41.846075,-87.716277,25,9,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
79,2007-06-05,CULEX RESTUANS,T153,41.907645,-87.760886,15,8,3,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
80,2007-06-05,CULEX RESTUANS,T154,41.918705,-87.752329,21,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
81,2007-06-05,CULEX RESTUANS,T158,41.682587,-87.707973,35,9,8,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
82,2007-06-05,CULEX RESTUANS,T159,41.732984,-87.649642,89,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
83,2007-06-05,CULEX RESTUANS,T218,41.948167,-87.730698,37,8,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
84,2007-06-05,CULEX RESTUANS,T220,41.963976,-87.69181,45,9,1,0,63.5,49.0,56.5,47.5,51.5,0.345,29.130000000000003,29.785,5.7,4.0,7.85,14.5,65,2007,6,23,5
85,2007-06-26,CULEX PIPIENS,T088,41.869107,-87.696293,10,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
86,2007-06-26,CULEX PIPIENS,T090,41.868077,-87.666901,11,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
87,2007-06-26,CULEX PIPIENS,T135,41.662014,-87.724608,42,8,6,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
88,2007-06-26,CULEX PIPIENS/RESTUANS,T001,41.953705,-87.733974,40,8,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
89,2007-06-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,41,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
90,2007-06-26,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,60,8,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
91,2007-06-26,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,62,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
92,2007-06-26,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,36,8,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
93,2007-06-26,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,61,8,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
94,2007-06-26,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.811506,72,8,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
95,2007-06-26,CULEX PIPIENS/RESTUANS,T025,41.979243,-87.750938,49,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
96,2007-06-26,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,58,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
97,2007-06-26,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,14,9,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
98,2007-06-26,CULEX PIPIENS/RESTUANS,T040,41.852652,-87.719887,21,8,5,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
99,2007-06-26,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,15,8,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
100,2007-06-26,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.654491,25,8,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
101,2007-06-26,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,11,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
102,2007-06-26,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,11,8,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
103,2007-06-26,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,25,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
104,2007-06-26,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,44,16,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
105,2007-06-26,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,11,9,10,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
106,2007-06-26,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,53,5,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
107,2007-06-26,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,42,8,20,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
108,2007-06-26,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,53,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
109,2007-06-26,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,65,8,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
110,2007-06-26,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,75,8,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
111,2007-06-26,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,70,8,3,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
112,2007-06-26,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,35,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
113,2007-06-26,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,96,9,3,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
114,2007-06-26,CULEX RESTUANS,T002,41.95469,-87.800991,41,9,4,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
115,2007-06-26,CULEX RESTUANS,T003,41.964242,-87.757639,46,8,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
116,2007-06-26,CULEX RESTUANS,T006,41.990284,-87.797127,60,8,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
117,2007-06-26,CULEX RESTUANS,T007,41.994991,-87.769279,62,9,4,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
118,2007-06-26,CULEX RESTUANS,T008,42.008314,-87.777921,70,9,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
119,2007-06-26,CULEX RESTUANS,T011,41.944869,-87.832763,36,8,4,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
120,2007-06-26,CULEX RESTUANS,T015,41.974089,-87.824812,79,8,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
121,2007-06-26,CULEX RESTUANS,T016,42.011601,-87.811506,72,8,2,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
122,2007-06-26,CULEX RESTUANS,T019,41.94983,-87.698457,38,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
123,2007-06-26,CULEX RESTUANS,T028,41.986921,-87.689778,58,9,9,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
124,2007-06-26,CULEX RESTUANS,T033,41.906638,-87.701431,14,9,3,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
125,2007-06-26,CULEX RESTUANS,T034,41.843811,-87.686763,27,9,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
126,2007-06-26,CULEX RESTUANS,T037,41.921177,-87.79518,68,8,1,0,91.5,71.5,81.5,69.0,72.0,0.0805,29.42,30.1,6.699999999999999,21.5,7.6,20.0,77,2007,6,26,26
