,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Neighborhood,Year Remod/Add,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Foundation,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,TotRms AbvGrd,Functional,Garage Type,Paved Drive,Wood Deck SF,Sale Type,SalePrice,Overall Qual Cond,Exter Qual Cond,Bsmt,Kitchen and Qual,Fireplaces and Qual,Garage,Porch total,Age,HeatingMod
13,160,FV,24.0,2645,Pave,Pave,Somerst,2000,MetalSd,MetalSd,BrkFace,456.0,PConc,962,645,0,1607,1.0,0.0,2,7,8,Detchd,Y,169,ConLD,200000,40,12,18162.0,4,0,8640.0,0,9,1.512490683845176
14,20,RL,74.0,9627,Pave,None,CollgCr,2007,VinylSd,VinylSd,None,0.0,PConc,1361,0,0,1361,0.0,0.0,2,6,8,Attchd,Y,0,WD ,193000,35,12,96552.0,4,0,21960.0,50,1,1.512490683845176
15,20,RL,93.0,10114,Pave,None,Mitchel,2005,VinylSd,VinylSd,None,0.0,PConc,1430,0,0,1430,0.0,0.0,2,7,8,Attchd,Y,0,WD ,173500,25,9,128700.0,4,0,22464.0,0,6,1.512490683845176
16,70,RM,34.0,4571,Pave,Grvl,OldTown,1950,AsbShng,AsbShng,None,0.0,BrkTil,624,720,0,1344,0.0,0.0,1,7,8,Detchd,Y,0,COD,98000,25,9,11232.0,3,0,6156.0,0,92,0.6049962735380704
17,20,RL,80.0,8816,Pave,None,Sawyer,1963,VinylSd,VinylSd,None,0.0,PConc,1121,0,0,1121,1.0,0.0,1,5,8,Detchd,Y,0,WD ,139000,30,9,16272.0,3,0,8640.0,80,46,0.9074944103071056
18,20,RL,71.0,8197,Pave,None,Sawyer,1977,Plywood,Plywood,BrkFace,148.0,CBlock,1285,0,0,1285,0.0,0.0,1,7,8,Attchd,Y,138,WD ,143500,30,9,11880.0,3,3,19008.0,0,30,1.512490683845176
19,60,FV,72.0,8640,Pave,None,Somerst,2009,VinylSd,VinylSd,None,0.0,PConc,764,783,0,1547,0.0,0.0,2,7,8,Attchd,Y,169,Con,215200,35,9,35856.0,4,0,11052.0,45,1,1.512490683845176
20,20,RL,109.0,8724,Pave,None,Sawyer,1968,VinylSd,VinylSd,None,0.0,CBlock,894,0,0,894,0.0,0.0,1,5,8,Attchd,Y,0,WD ,129000,25,9,17520.0,3,1,24300.0,0,39,1.2099925470761408
21,120,RL,40.0,5664,Pave,None,StoneBr,2000,CemntBd,CmentBd,None,0.0,PConc,1659,0,0,1659,1.0,0.0,2,5,8,Attchd,Y,212,WD ,278000,40,12,29076.0,5,5,26946.0,59,9,1.512490683845176
23,20,RL,0.0,7980,Pave,None,Gilbert,2007,HdBoard,HdBoard,None,0.0,PConc,1187,0,0,1187,1.0,0.0,2,6,8,Attchd,Y,483,WD ,185000,42,12,21487.0,3,0,22680.0,21,18,1.512490683845176
24,190,RL,100.0,34650,Pave,None,Gilbert,1955,Wd Sdng,Wd Sdng,None,0.0,CBlock,1056,0,0,1056,1.0,0.0,1,5,8,Attchd,Y,264,WD ,145000,25,9,22176.0,3,0,30888.0,0,51,0.9074944103071056
25,20,RL,92.0,10573,Pave,None,NAmes,1961,MetalSd,MetalSd,BrkFace,3.0,CBlock,1453,0,0,1453,1.0,0.0,2,6,8,Attchd,Y,0,WD ,187500,36,9,18282.0,3,3,19080.0,337,48,1.512490683845176
26,20,RL,65.0,8450,Pave,None,Sawyer,2009,MetalSd,MetalSd,None,0.0,CBlock,894,0,0,894,1.0,0.0,1,5,8,Detchd,Y,416,WD ,138500,40,12,13848.0,3,4,3024.0,144,45,1.512490683845176
27,50,RL,0.0,11700,Pave,Grvl,Crawfor,1995,WdShing,Wd Shng,None,0.0,CBlock,1265,673,0,1938,0.0,0.0,2,7,6,Detchd,Y,0,WD ,198000,30,9,13926.0,4,4,2160.0,40,71,1.512490683845176
28,190,C (all),75.0,8250,Pave,None,IDOTRR,2006,VinylSd,VinylSd,None,0.0,CBlock,1034,957,0,1991,0.0,0.0,2,9,8,,N,0,WD ,119600,30,12,17226.0,6,0,0.0,0,112,0.6049962735380704
29,50,RL,60.0,8064,Pave,None,NAmes,2006,MetalSd,MetalSd,None,0.0,CBlock,672,252,0,924,0.0,0.0,1,6,8,Detchd,Y,0,WD ,122900,35,12,24192.0,3,1,10368.0,0,58,1.512490683845176
30,20,RL,80.0,9600,Pave,None,NWAmes,1981,BrkFace,BrkFace,None,0.0,PConc,2524,0,0,2524,1.0,0.0,2,9,8,Attchd,Y,474,WD ,278000,40,12,52848.0,4,4,29268.0,120,28,0.9074944103071056
31,70,RL,0.0,11435,Pave,None,Crawfor,1950,BrkFace,Stucco,None,0.0,PConc,792,725,0,1517,0.0,0.0,1,7,8,Detchd,Y,0,WD ,230000,56,9,19008.0,4,8,7200.0,0,77,0.6049962735380704
32,120,RL,30.0,9549,Pave,None,Veenker,1996,BrkFace,BrkFace,None,0.0,PConc,1494,0,0,1494,1.0,0.0,1,6,8,Attchd,Y,0,WD ,270000,40,16,78928.0,5,4,25974.0,246,11,1.512490683845176
33,20,RL,60.0,10950,Pave,None,NAmes,1952,Wd Sdng,Wd Sdng,None,0.0,CBlock,948,0,0,948,0.0,0.0,1,5,8,Detchd,N,0,WD ,125000,36,9,15300.0,3,0,7380.0,48,55,0.9074944103071056
34,20,RL,79.0,10637,Pave,None,CollgCr,2008,VinylSd,VinylSd,Stone,336.0,PConc,1718,0,0,1718,1.0,0.0,2,7,8,Attchd,Y,208,WD ,297000,40,12,135048.0,4,4,44604.0,44,2,1.512490683845176
35,20,RL,80.0,9000,Pave,None,NAmes,1958,Wd Sdng,Wd Sdng,BrkFace,82.0,CBlock,1142,0,0,1142,0.0,0.0,1,5,8,Basment,Y,0,WD ,113500,36,9,15360.0,3,4,6912.0,28,51,0.6049962735380704
36,160,RM,41.0,2665,Pave,None,MeadowV,1977,CemntBd,CmentBd,None,0.0,PConc,925,550,0,1475,0.0,0.0,2,6,8,Attchd,Y,104,WD ,127000,30,9,10396.0,3,3,6048.0,26,29,1.512490683845176
37,20,RL,105.0,11751,Pave,None,NWAmes,1977,Plywood,Plywood,BrkFace,480.0,CBlock,1844,0,0,1844,0.0,0.0,2,7,8,Attchd,Y,0,COD,190000,36,9,38616.0,3,3,19656.0,122,33,1.512490683845176
38,20,RL,80.0,9600,Pave,None,NWAmes,1973,HdBoard,HdBoard,BrkFace,320.0,CBlock,1242,0,0,1242,0.0,0.0,1,6,8,Attchd,Y,0,WD ,175500,42,9,18692.0,3,3,9504.0,0,34,0.6049962735380704
39,20,RL,60.0,8428,Pave,None,CollgCr,1994,VinylSd,VinylSd,None,0.0,PConc,990,0,0,990,1.0,0.0,1,5,8,Detchd,Y,256,WD ,146000,35,12,27480.0,3,0,3456.0,0,13,1.512490683845176
40,20,RL,75.0,9937,Pave,None,Edwards,1965,HdBoard,HdBoard,None,0.0,CBlock,1256,0,0,1256,1.0,0.0,1,6,8,Attchd,Y,736,WD ,147500,30,12,16428.0,3,0,7452.0,68,43,1.2099925470761408
42,85,RL,0.0,9101,Pave,None,Mitchel,1978,Plywood,Plywood,BrkFace,104.0,PConc,1110,0,0,1110,1.0,0.0,1,4,8,Attchd,Y,303,WD ,165500,30,12,46074.0,4,3,32508.0,30,31,1.512490683845176
43,50,RM,81.0,12150,Pave,Grvl,OldTown,1954,MetalSd,MetalSd,BrkFace,335.0,BrkTil,1050,745,0,1795,0.0,0.0,2,7,8,Attchd,Y,0,WD ,131500,25,9,18900.0,3,0,2112.0,0,54,1.512490683845176
44,20,RL,70.0,11200,Pave,None,Sawyer,1965,HdBoard,HdBoard,None,0.0,CBlock,1040,0,0,1040,1.0,0.0,1,5,8,Detchd,Y,0,WD ,129500,25,9,13284.0,3,0,3456.0,0,43,1.512490683845176
45,70,RL,100.0,9670,Pave,None,Crawfor,1950,BrkFace,Stucco,Stone,40.0,PConc,983,890,0,1873,0.0,0.0,1,9,8,Detchd,Y,0,WD ,257076,48,9,6456.0,3,8,28296.0,0,73,0.9074944103071056
46,50,RL,60.0,10998,Pave,Grvl,Edwards,1960,Wd Sdng,Wd Sdng,None,0.0,CBlock,984,620,0,1604,0.0,0.0,2,6,6,Detchd,Y,0,WD ,117000,25,9,12756.0,3,0,11880.0,68,68,1.512490683845176
47,70,RL,60.0,7200,Pave,None,Crawfor,2000,Stucco,Wd Shng,None,0.0,BrkTil,851,651,0,1502,0.0,0.0,1,6,8,Attchd,P,0,WD ,149000,42,6,18624.0,3,4,4860.0,0,77,0.9074944103071056
48,20,RL,80.0,9920,Pave,None,NAmes,1954,HdBoard,HdBoard,Stone,110.0,CBlock,1063,0,0,1063,1.0,0.0,1,6,8,Attchd,Y,0,WD ,128000,25,9,14854.0,3,0,5040.0,0,56,0.9074944103071056
49,160,RL,36.0,2448,Pave,None,NridgHt,2004,VinylSd,Wd Shng,Stone,106.0,PConc,764,862,0,1626,0.0,0.0,2,6,8,BuiltIn,Y,0,WD ,155000,35,12,18336.0,4,0,17064.0,27,5,1.512490683845176
50,160,FV,0.0,2998,Pave,None,Somerst,2000,MetalSd,MetalSd,BrkFace,513.0,PConc,768,756,0,1524,0.0,0.0,2,4,8,Detchd,Y,0,WD ,166000,30,12,16026.0,4,0,7920.0,32,6,1.512490683845176
51,50,RL,65.0,7804,Pave,None,SWISU,1950,WdShing,Plywood,None,0.0,BrkTil,1328,653,0,1981,1.0,0.0,2,7,6,Detchd,Y,431,WD ,135000,12,9,17086.0,4,6,10368.0,44,81,0.9074944103071056
52,60,RL,80.0,16692,Pave,None,NWAmes,1978,Plywood,Plywood,BrkFace,184.0,CBlock,1392,1392,0,2784,1.0,0.0,3,12,8,Attchd,Y,0,WD ,250000,35,9,22398.0,4,6,20304.0,552,28,0.9074944103071056
53,160,RM,21.0,1476,Pave,None,MeadowV,1970,CemntBd,CmentBd,None,0.0,CBlock,546,546,0,1092,0.0,0.0,1,5,8,,Y,200,WD ,76000,28,9,9300.0,3,0,0.0,26,40,1.512490683845176
54,20,RL,75.0,10170,Pave,None,NAmes,1951,Wd Sdng,Wd Sdng,BrkFace,522.0,CBlock,1575,0,0,1575,0.0,0.0,1,5,8,Attchd,Y,0,WD ,155000,36,9,3888.0,4,4,7200.0,0,55,0.9074944103071056
55,60,RL,80.0,9364,Pave,None,Sawyer,1969,HdBoard,HdBoard,Stone,143.0,CBlock,663,689,0,1352,0.0,0.0,1,7,8,Attchd,Y,379,WD ,158000,42,9,10450.0,3,0,8073.0,36,41,0.9074944103071056
56,160,FV,24.0,2544,Pave,Pave,Somerst,2005,MetalSd,MetalSd,None,0.0,PConc,600,600,0,1200,1.0,0.0,2,4,8,Detchd,Y,0,WD ,149500,35,12,11898.0,4,0,17280.0,172,6,1.512490683845176
57,20,RL,82.0,9888,Pave,None,NAmes,1975,MetalSd,MetalSd,None,0.0,CBlock,936,0,0,936,0.0,0.0,1,5,8,Attchd,Y,0,WD ,121000,30,12,14418.0,3,0,2160.0,0,52,0.9074944103071056
58,20,RL,68.0,7942,Pave,None,NAmes,1953,Wd Sdng,Wd Sdng,None,0.0,CBlock,1040,0,0,1040,0.0,1.0,1,6,8,Attchd,Y,0,WD ,136000,42,9,14390.0,3,0,7911.0,0,54,0.9074944103071056
59,60,RL,0.0,15038,Pave,None,Gilbert,1996,HdBoard,HdBoard,None,0.0,PConc,916,720,0,1636,0.0,0.0,2,7,8,Attchd,Y,168,WD ,173000,30,9,20742.0,3,3,20844.0,84,12,1.2099925470761408
60,60,RL,92.0,11764,Pave,None,NoRidge,2007,VinylSd,VinylSd,BrkFace,348.0,PConc,1164,1106,0,2270,0.0,0.0,2,9,8,Attchd,Y,132,WD ,290000,56,12,24504.0,4,4,54351.0,57,11,1.512490683845176
61,60,FV,75.0,9000,Pave,None,Somerst,2007,CemntBd,CmentBd,None,0.0,PConc,1184,1426,0,2610,0.0,0.0,2,11,8,BuiltIn,Y,208,New,303477,40,12,83328.0,5,4,29700.0,364,0,1.512490683845176
62,20,RL,0.0,20062,Pave,None,ClearCr,2001,Wd Sdng,Wd Sdng,None,0.0,CBlock,1483,0,0,1483,1.0,0.0,1,4,8,Attchd,Y,496,WD ,270000,49,16,89364.0,3,6,24840.0,0,33,1.2099925470761408
63,50,RM,81.0,7308,Pave,None,OldTown,1950,WdShing,Wd Shng,None,0.0,BrkTil,960,780,0,1740,0.0,0.0,1,6,8,Detchd,N,0,WD ,122250,25,4,14688.0,5,4,900.0,0,88,1.2099925470761408
64,20,RL,70.0,8750,Pave,None,NAmes,1955,AsbShng,AsbShng,None,0.0,CBlock,1382,0,0,1382,0.0,1.0,1,6,8,Attchd,Y,280,WD ,153000,25,9,20463.0,4,0,3150.0,0,54,1.2099925470761408
65,20,RL,70.0,8402,Pave,None,Mitchel,2007,VinylSd,VinylSd,None,0.0,PConc,1120,0,0,1120,0.0,0.0,1,6,8,,Y,0,New,147000,25,9,25438.0,3,0,0.0,30,0,1.512490683845176
66,70,RL,63.0,4000,Pave,None,Crawfor,1995,Wd Sdng,Wd Sdng,None,0.0,BrkTil,567,531,0,1098,1.0,0.0,1,5,8,Detchd,Y,0,WD ,148500,56,9,11268.0,3,4,1944.0,0,77,0.9074944103071056
67,160,RM,32.0,3363,Pave,None,Edwards,2004,VinylSd,VinylSd,Stone,117.0,PConc,976,732,0,1708,0.0,0.0,2,7,4,Detchd,Y,0,WD ,130000,35,12,23424.0,4,0,6840.0,40,2,1.512490683845176
68,20,RL,94.0,13615,Pave,None,NridgHt,2006,MetalSd,MetalSd,Stone,510.0,PConc,1802,0,0,1802,0.0,0.0,2,7,8,Attchd,Y,158,WD ,372000,45,15,216240.0,5,4,68283.0,105,1,1.512490683845176
69,120,RL,43.0,3013,Pave,None,Blmngtn,2005,VinylSd,VinylSd,BrkFace,145.0,PConc,1506,0,0,1506,0.0,0.0,2,6,8,Attchd,Y,142,WD ,213490,35,12,130080.0,4,4,23760.0,20,1,1.512490683845176
70,20,RL,44.0,17485,Pave,None,Edwards,2010,VinylSd,VinylSd,Stone,96.0,PConc,1508,0,0,1508,1.0,0.0,1,5,8,Attchd,Y,0,Con,308030,35,12,88236.0,4,6,20592.0,0,1,1.512490683845176
71,20,RL,0.0,23730,Pave,None,Mitchel,1997,MetalSd,MetalSd,BrkFace,668.0,PConc,2032,0,0,2032,1.0,0.0,3,7,8,Attchd,Y,0,WD ,300000,35,12,93600.0,4,0,63666.0,46,12,1.512490683845176
72,20,RL,79.0,8910,Pave,None,NAmes,1959,BrkFace,BrkFace,None,0.0,CBlock,1194,0,0,1194,0.0,1.0,1,6,8,BuiltIn,Y,0,WD ,159500,36,9,15065.0,3,2,29106.0,0,47,1.512490683845176
73,160,RM,24.0,2522,Pave,None,Edwards,2004,VinylSd,VinylSd,Stone,50.0,PConc,970,739,0,1709,0.0,0.0,2,7,4,Detchd,Y,0,WD ,137500,35,12,23280.0,4,0,6840.0,40,2,1.512490683845176
74,20,RL,73.0,8688,Pave,None,Somerst,2005,VinylSd,VinylSd,BrkFace,228.0,PConc,1616,0,0,1616,0.0,0.0,2,7,8,Attchd,Y,208,WD ,232000,35,12,116352.0,4,0,45036.0,59,1,1.512490683845176
75,30,RM,0.0,6291,Grvl,None,IDOTRR,1950,Stucco,Wd Shng,None,0.0,BrkTil,768,0,0,768,0.0,0.0,1,4,8,Detchd,N,0,WD ,93850,36,16,13824.0,3,0,7920.0,0,78,0.9074944103071056
76,30,RL,0.0,17529,Pave,None,Sawyer,1950,BrkFace,Wd Sdng,Stone,65.0,BrkTil,872,0,0,872,0.0,0.0,1,5,5,Detchd,N,0,WD ,105000,25,9,15696.0,2,4,1288.0,0,82,0.6049962735380704
77,30,RM,60.0,6324,Pave,None,BrkSide,1950,MetalSd,MetalSd,None,0.0,BrkTil,520,0,0,520,0.0,0.0,1,4,8,Detchd,Y,49,WD ,68500,24,9,9360.0,2,0,1440.0,0,81,0.6049962735380704
78,90,RL,80.0,11600,Pave,None,NAmes,1960,MetalSd,MetalSd,BrkFace,361.0,CBlock,1105,1169,0,2274,0.0,0.0,2,12,8,Detchd,Y,0,WD ,154300,25,9,17232.0,6,0,8640.0,0,50,0.9074944103071056
79,50,RM,50.0,7288,Pave,None,IDOTRR,2003,VinylSd,VinylSd,None,0.0,BrkTil,936,665,0,1601,0.0,0.0,2,6,8,,N,0,WD ,129850,35,16,5616.0,3,0,0.0,176,82,1.512490683845176
80,70,RM,35.0,4571,Pave,Grvl,OldTown,1950,MetalSd,MetalSd,None,0.0,BrkTil,616,616,0,1232,0.0,0.0,1,6,8,Detchd,Y,280,WD ,114000,35,9,10248.0,3,0,3840.0,0,97,1.512490683845176
81,20,RL,63.0,17423,Pave,None,StoneBr,2009,VinylSd,VinylSd,Stone,748.0,PConc,2234,0,0,2234,1.0,0.0,2,9,8,Attchd,Y,0,New,501837,45,15,49344.0,5,4,94446.0,60,1,1.512490683845176
82,50,RM,100.0,12665,Pave,Grvl,OldTown,1950,Wd Sdng,Wd Sdng,None,0.0,BrkTil,876,540,0,1416,0.0,0.0,1,7,8,Detchd,Y,418,WD ,153900,40,9,31536.0,3,4,19440.0,0,93,1.2099925470761408
83,20,RL,60.0,9000,Pave,None,NAmes,2006,VinylSd,VinylSd,None,0.0,CBlock,864,0,0,864,0.0,0.0,1,5,8,Detchd,Y,200,WD ,130000,28,12,14592.0,3,0,10368.0,0,38,1.2099925470761408
84,120,RM,32.0,4500,Pave,None,Mitchel,1997,VinylSd,VinylSd,BrkFace,197.0,PConc,1189,0,0,1189,1.0,0.0,2,4,8,Attchd,Y,0,WD ,160500,30,9,27894.0,3,0,14112.0,122,11,1.512490683845176
85,120,RL,48.0,6373,Pave,None,NridgHt,2006,MetalSd,MetalSd,BrkFace,572.0,PConc,1666,0,0,1666,1.0,0.0,2,6,8,Attchd,Y,228,New,310090,45,15,60830.0,4,4,20700.0,75,0,1.512490683845176
87,20,RL,70.0,13300,Pave,None,NAmes,2000,Wd Sdng,Wd Sdng,None,0.0,CBlock,928,0,0,928,0.0,0.0,1,4,8,Attchd,Y,261,WD ,132000,35,9,18879.0,3,0,2268.0,0,51,0.9074944103071056
88,20,RL,80.0,9600,Pave,None,NWAmes,1969,HdBoard,HdBoard,BrkFace,128.0,CBlock,1336,0,0,1336,0.0,1.0,2,6,8,Attchd,Y,312,WD ,163000,25,9,48230.0,3,2,18072.0,11,40,0.9074944103071056
89,160,FV,30.0,3215,Pave,Pave,Somerst,2004,MetalSd,MetalSd,BrkFace,120.0,PConc,600,600,0,1200,0.0,0.0,2,4,8,Detchd,Y,0,ConLD,155000,35,12,34800.0,4,0,17280.0,172,6,1.512490683845176
90,80,RL,0.0,11104,Pave,None,NWAmes,1969,MetalSd,MetalSd,None,0.0,CBlock,1427,0,0,1427,0.0,1.0,2,7,8,Attchd,Y,0,WD ,183000,36,9,59670.0,3,0,18576.0,216,39,1.2099925470761408
91,60,RL,0.0,15295,Pave,None,CollgCr,2002,VinylSd,VinylSd,BrkFace,254.0,PConc,1212,780,0,1992,1.0,0.0,2,7,6,Attchd,Y,225,WD ,211000,35,12,27564.0,4,6,21888.0,32,11,1.512490683845176
92,60,RL,70.0,9109,Pave,None,SawyerW,1994,VinylSd,VinylSd,None,0.0,PConc,754,786,0,1540,1.0,0.0,2,6,8,Attchd,Y,140,WD ,184000,35,12,14160.0,4,0,17820.0,32,15,1.512490683845176
93,90,RL,64.0,7018,Pave,None,SawyerW,1979,HdBoard,HdBoard,None,0.0,Slab,1535,0,0,1535,0.0,0.0,2,8,8,Attchd,Y,0,WD ,118858,25,9,0.0,6,0,7200.0,0,30,0.9074944103071056
94,80,RL,0.0,14112,Pave,None,NAmes,1964,Wd Sdng,HdBoard,BrkFace,86.0,PConc,1152,0,0,1152,1.0,0.0,1,6,8,Attchd,Y,227,WD ,180500,35,9,40914.0,3,4,17424.0,0,46,0.9074944103071056
95,120,FV,80.0,3523,Pave,Pave,Somerst,2007,VinylSd,VinylSd,Stone,30.0,PConc,1151,0,0,1151,1.0,0.0,2,5,8,Attchd,Y,0,New,166000,40,12,27024.0,4,0,26136.0,60,1,1.512490683845176
96,80,RL,88.0,15312,Pave,None,Sawyer,1960,Wd Sdng,Wd Sdng,BrkFace,54.0,CBlock,1138,0,0,1138,0.0,1.0,1,6,8,Attchd,Y,0,COD,148000,30,9,47928.0,3,3,17280.0,140,49,1.512490683845176
97,20,RL,74.0,7450,Pave,None,NAmes,1956,Wd Sdng,Wd Sdng,None,0.0,CBlock,1074,0,0,1074,0.0,0.0,1,6,7,Detchd,Y,0,WD ,124000,25,9,12022.0,4,4,7128.0,72,51,1.2099925470761408
98,120,RL,60.0,7313,Pave,None,NridgHt,2005,MetalSd,MetalSd,BrkFace,246.0,PConc,1561,0,0,1561,1.0,0.0,2,6,8,Attchd,Y,203,WD ,277500,45,15,36453.0,5,4,30024.0,47,2,1.512490683845176
99,60,RL,83.0,10019,Pave,None,NoRidge,1995,VinylSd,VinylSd,BrkFace,397.0,PConc,1358,1368,0,2726,0.0,0.0,2,9,8,Attchd,Y,307,WD ,350000,40,12,28519.0,4,5,39150.0,169,11,1.512490683845176
100,20,RL,53.0,15401,Pave,None,StoneBr,2004,VinylSd,VinylSd,BrkFace,296.0,PConc,1884,0,0,1884,1.0,0.0,2,7,8,Attchd,Y,214,WD ,387000,45,15,153882.0,5,4,54270.0,76,4,1.512490683845176
101,30,RL,58.0,9098,Pave,None,Edwards,2002,Wd Sdng,Wd Sdng,None,0.0,BrkTil,605,0,0,605,1.0,0.0,1,5,8,,N,0,WD ,86000,28,9,14484.0,3,0,0.0,0,87,1.512490683845176
102,20,RL,103.0,16280,Pave,None,Veenker,2007,VinylSd,VinylSd,None,0.0,CBlock,1671,0,0,1671,1.0,0.0,3,6,8,Attchd,Y,280,WD ,290000,72,25,64450.0,5,4,19800.0,90,32,1.512490683845176
103,30,C (all),72.0,9392,Pave,None,IDOTRR,1950,AsbShng,AsbShng,None,0.0,CBlock,797,0,0,797,0.0,0.0,1,5,8,,N,0,WD ,44000,9,6,2940.0,3,0,0.0,36,109,0.9074944103071056
104,60,RL,71.0,12209,Pave,None,Mitchel,2002,VinylSd,VinylSd,None,0.0,PConc,804,1157,0,1961,1.0,0.0,2,7,8,BuiltIn,Y,125,WD ,215000,30,9,17220.0,4,3,30240.0,192,8,1.512490683845176
105,190,RL,79.0,13110,Pave,None,NWAmes,1972,Plywood,Plywood,BrkFace,144.0,CBlock,1193,0,0,1193,1.0,0.0,2,6,8,Attchd,Y,140,WD ,146500,30,9,21900.0,3,0,27054.0,153,34,1.512490683845176
106,160,FV,0.0,2651,Pave,None,Somerst,2000,MetalSd,MetalSd,None,0.0,PConc,673,709,0,1382,1.0,0.0,2,6,8,Detchd,Y,153,WD ,165000,35,12,12306.0,4,0,8820.0,50,6,1.512490683845176
107,50,RM,60.0,8520,Pave,Grvl,OldTown,1950,Stucco,Stucco,None,0.0,BrkTil,1664,862,0,2526,0.0,0.0,2,10,8,Detchd,Y,88,CWD,136000,42,12,8022.0,4,4,1944.0,15,91,0.7548348847180488
108,20,RL,0.0,39384,Pave,None,NAmes,1957,Wd Sdng,Wd Sdng,Stone,902.0,CBlock,1390,0,0,1390,1.0,0.0,1,4,7,Attchd,Y,0,WD ,252000,36,9,115950.0,5,8,9900.0,189,49,1.512490683845176
109,160,RL,36.0,2628,Pave,None,NridgHt,2003,VinylSd,Wd Shng,Stone,106.0,PConc,764,862,0,1626,0.0,0.0,2,6,8,BuiltIn,Y,0,WD ,175500,35,12,18336.0,4,0,17064.0,27,7,1.512490683845176
110,70,RM,57.0,6406,Pave,Grvl,OldTown,1950,Wd Sdng,Wd Sdng,None,0.0,BrkTil,868,690,0,1558,0.0,0.0,1,7,8,Detchd,Y,0,WD ,150000,30,9,10736.0,3,4,7200.0,218,70,0.9074944103071056
