,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
18,20,6,71.0,8197,1,0,3,1,1,1,1,23,3,3,1,1,6,5,1977,1977,2,1,10,10,2,148.0,3,3,2,3,3,1,1,0.0,1,0.0,660.0,660.0,1,5,1,5,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,8,1,3,2.0,1977.0,2,2.0,528.0,3,3,3,138,0,0,0,0,3,0,0,4,2007,WD ,143500
19,60,3,72.0,8640,1,0,3,1,1,1,1,25,3,3,1,4,7,5,2009,2009,2,1,13,13,3,0.0,3,3,3,4,3,2,6,24.0,1,0.0,732.0,756.0,1,5,1,5,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,8,0,0,2.0,2009.0,1,2.0,614.0,3,3,3,169,45,0,0,0,0,0,0,6,2010,Con,215200
20,20,6,109.0,8724,1,0,3,1,1,1,1,23,3,3,1,1,5,5,1968,1968,2,1,13,13,3,0.0,3,3,2,4,3,1,4,492.0,1,0.0,402.0,894.0,1,4,1,5,894,0,0,894,0.0,0.0,1,0,3,1,3,5,8,1,1,2.0,1968.0,3,2.0,450.0,3,3,3,0,0,0,0,0,0,0,0,5,2007,WD ,129000
21,120,6,40.0,5664,1,0,2,1,1,1,1,26,3,3,5,1,8,5,2000,2000,2,1,6,6,3,0.0,4,3,3,4,3,1,6,1158.0,1,0.0,343.0,1501.0,1,5,1,5,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,8,1,5,2.0,2000.0,3,2.0,499.0,3,3,3,212,59,0,0,0,0,0,0,10,2009,WD ,278000
23,20,6,0.0,7980,1,0,2,1,1,1,1,9,3,3,1,1,6,7,1992,2007,2,1,7,7,3,0.0,3,4,3,4,3,1,5,935.0,1,0.0,233.0,1168.0,1,5,1,5,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,8,0,0,2.0,1992.0,3,2.0,420.0,3,3,3,483,21,0,0,0,4,2,500,3,2010,WD ,185000
24,190,6,100.0,34650,1,0,3,2,1,1,1,9,3,3,2,1,5,5,1955,1955,4,1,14,14,3,0.0,3,3,2,3,3,2,3,1056.0,1,0.0,0.0,1056.0,1,3,0,5,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,8,0,0,2.0,1955.0,3,2.0,572.0,3,3,3,264,0,0,0,0,0,0,0,1,2006,WD ,145000
25,20,6,92.0,10573,1,0,2,1,1,2,1,16,3,3,1,1,6,6,1961,1961,4,1,9,9,2,3.0,3,3,2,3,3,1,3,1312.0,1,0.0,141.0,1453.0,1,5,1,5,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,8,1,3,2.0,1961.0,2,2.0,530.0,3,3,3,0,49,0,0,288,4,0,0,4,2009,WD ,187500
26,20,6,65.0,8450,1,0,3,1,1,1,1,23,6,3,1,1,5,8,1965,2009,2,1,9,9,3,0.0,3,4,2,3,3,1,6,553.0,4,117.0,224.0,894.0,1,5,1,5,894,0,0,894,1.0,0.0,1,0,3,1,3,5,8,1,4,6.0,1973.0,1,1.0,336.0,3,3,3,416,144,0,0,0,3,0,0,4,2010,WD ,138500
27,50,6,0.0,11700,1,2,2,3,1,1,2,7,3,3,1,2,5,6,1937,1995,2,1,15,15,3,0.0,3,3,2,3,3,1,4,606.0,1,0.0,336.0,942.0,1,5,1,5,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,6,1,4,6.0,1937.0,1,1.0,240.0,3,3,3,0,40,0,0,0,0,0,0,7,2008,WD ,198000
28,190,2,75.0,8250,1,0,3,1,1,1,1,12,2,3,2,4,5,6,1895,2006,2,1,13,13,3,0.0,3,4,2,3,3,1,1,0.0,1,0.0,957.0,957.0,1,2,0,5,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,8,0,0,7.0,None,0,0.0,0.0,0,0,1,0,0,133,0,0,0,0,0,6,2007,WD ,119600
29,50,6,60.0,8064,1,0,3,1,1,2,1,16,1,3,1,2,5,7,1949,2006,2,1,9,9,3,0.0,3,4,2,3,3,2,1,0.0,1,0.0,672.0,672.0,1,5,1,5,672,252,0,924,0.0,0.0,1,0,3,1,3,6,8,1,1,6.0,2003.0,1,2.0,576.0,3,3,3,0,0,0,0,0,3,2,2000,7,2007,WD ,122900
30,20,6,80.0,9600,1,0,3,1,1,1,1,20,5,3,1,1,8,5,1981,1981,4,5,4,4,3,0.0,4,3,3,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,1,3,1,5,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,8,1,4,2.0,1981.0,3,2.0,542.0,3,3,3,474,120,0,0,0,3,0,0,7,2009,WD ,278000
31,70,6,0.0,11435,1,0,2,3,1,2,2,7,3,3,1,4,8,7,1929,1950,2,1,4,12,3,0.0,3,3,3,4,3,1,1,0.0,1,0.0,792.0,792.0,1,2,1,5,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,8,2,4,6.0,1931.0,1,2.0,400.0,3,3,3,0,0,0,0,0,0,0,0,6,2006,WD ,230000
32,120,6,30.0,9549,1,0,2,1,1,3,1,28,3,3,5,1,8,5,1995,1996,4,1,4,4,3,0.0,4,4,3,4,4,3,2,437.0,6,1057.0,0.0,1494.0,1,5,1,5,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,8,1,4,2.0,1995.0,3,2.0,481.0,3,3,3,0,30,0,0,216,0,0,0,4,2006,WD ,270000
33,20,6,60.0,10950,1,0,3,1,1,1,1,16,3,3,1,1,6,6,1952,1952,4,1,14,14,3,0.0,3,3,2,3,3,1,5,441.0,1,0.0,507.0,948.0,1,3,1,5,948,0,0,948,0.0,0.0,1,0,2,1,3,5,8,0,0,6.0,1952.0,1,2.0,410.0,3,3,1,0,48,0,0,0,0,0,0,4,2007,WD ,125000
34,20,6,79.0,10637,1,0,3,1,1,1,1,6,3,3,1,1,8,5,2007,2008,4,1,13,13,4,336.0,4,3,3,5,3,4,6,1288.0,1,0.0,417.0,1705.0,1,5,1,5,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,8,1,4,2.0,2007.0,2,3.0,826.0,3,3,3,208,44,0,0,0,0,0,0,9,2009,WD ,297000
35,20,6,80.0,9000,1,0,2,3,1,1,2,16,3,3,1,1,6,6,1958,1958,1,3,14,14,2,82.0,3,3,2,4,3,4,1,0.0,1,0.0,160.0,160.0,1,2,1,5,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,8,1,4,3.0,1958.0,2,1.0,384.0,3,3,3,0,28,64,0,0,0,0,0,4,2009,WD ,113500
36,160,8,41.0,2665,1,0,3,1,1,1,1,14,3,3,5,4,5,6,1977,1977,2,1,6,6,3,0.0,3,3,3,3,3,1,5,548.0,3,173.0,36.0,757.0,1,5,1,5,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,8,1,3,2.0,1977.0,2,1.0,336.0,3,3,3,104,26,0,0,0,0,0,0,7,2006,WD ,127000
37,20,6,105.0,11751,1,0,2,1,1,1,1,20,3,3,1,1,6,6,1977,1977,4,1,10,10,2,480.0,3,3,2,4,3,1,4,705.0,1,0.0,1139.0,1844.0,1,5,1,5,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,8,1,3,2.0,1977.0,2,2.0,546.0,3,3,3,0,122,0,0,0,3,0,0,1,2010,COD,190000
38,20,6,80.0,9600,1,0,3,1,1,1,1,20,3,3,1,1,7,6,1973,1973,4,1,7,7,2,320.0,3,3,2,3,3,1,5,916.0,1,0.0,326.0,1242.0,1,2,1,5,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,8,1,3,2.0,1973.0,1,2.0,528.0,3,3,3,0,0,0,0,0,0,0,0,9,2007,WD ,175500
39,20,6,60.0,8428,1,0,1,1,1,1,1,6,3,3,1,1,5,7,1994,1994,2,1,13,13,3,0.0,3,4,3,4,4,1,6,420.0,1,0.0,570.0,990.0,1,5,1,5,990,0,0,990,1.0,0.0,1,0,3,1,3,5,8,0,0,6.0,1995.0,1,1.0,384.0,3,3,3,256,0,0,0,0,0,0,0,7,2007,WD ,146000
40,20,6,75.0,9937,1,0,3,1,1,1,1,8,3,3,1,1,5,6,1965,1965,2,1,7,7,3,0.0,4,3,2,3,3,1,4,830.0,2,290.0,136.0,1256.0,1,4,1,5,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,8,0,0,2.0,1965.0,3,1.0,276.0,3,3,3,736,68,0,0,0,0,0,0,6,2008,WD ,147500
42,85,6,0.0,9101,1,0,2,1,1,2,1,15,3,3,1,7,5,6,1978,1978,2,1,10,10,2,104.0,3,4,3,4,3,3,6,1097.0,1,0.0,0.0,1097.0,1,5,1,5,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,8,1,3,2.0,1978.0,3,2.0,602.0,3,3,3,303,30,0,0,0,0,0,0,7,2009,WD ,165500
43,50,8,81.0,12150,1,2,3,1,1,1,1,21,3,3,1,2,5,5,1954,1954,2,1,9,9,2,335.0,3,3,1,3,3,1,1,0.0,1,0.0,1050.0,1050.0,1,5,0,3,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,8,0,0,2.0,1954.0,1,1.0,352.0,2,3,3,0,0,0,0,0,0,0,0,11,2008,WD ,131500
44,20,6,70.0,11200,1,0,3,1,1,1,1,23,3,3,1,1,5,5,1965,1965,4,1,7,7,3,0.0,3,3,2,3,3,1,3,906.0,1,0.0,134.0,1040.0,1,5,1,5,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,8,0,0,6.0,1965.0,1,1.0,384.0,3,3,3,0,0,0,0,0,0,0,0,2,2008,WD ,129500
45,70,6,100.0,9670,1,0,2,3,1,1,2,7,3,3,1,4,8,6,1935,1950,2,1,4,12,4,40.0,3,3,3,3,2,1,2,210.0,1,0.0,398.0,608.0,1,3,1,5,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,8,2,4,6.0,1935.0,3,2.0,786.0,2,3,3,0,0,207,0,0,0,0,0,6,2008,WD ,257076
46,50,6,60.0,10998,1,2,3,1,1,1,1,8,3,3,1,2,5,5,1941,1960,2,1,14,14,3,0.0,3,3,2,3,3,1,2,408.0,4,420.0,156.0,984.0,1,5,1,5,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,6,0,0,6.0,1977.0,1,2.0,660.0,3,3,3,0,68,0,0,0,0,0,0,7,2009,WD ,117000
47,70,6,60.0,7200,1,0,3,3,1,1,2,7,3,3,1,4,7,6,1931,2000,2,1,12,15,3,0.0,3,2,1,4,3,1,1,0.0,1,0.0,776.0,776.0,1,3,1,5,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,8,1,4,2.0,1931.0,2,1.0,270.0,3,3,2,0,0,112,0,0,3,0,0,2,2008,WD ,149000
48,20,6,80.0,9920,1,0,3,1,1,1,1,16,3,3,1,1,5,5,1954,1954,2,1,7,7,4,110.0,3,3,2,3,3,1,3,354.0,2,290.0,412.0,1056.0,1,3,1,5,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,8,0,0,2.0,1954.0,2,1.0,280.0,3,3,3,0,0,164,0,0,3,0,0,2,2010,WD ,128000
49,160,6,36.0,2448,1,0,3,1,1,1,1,19,3,3,4,4,7,5,2003,2004,2,1,13,15,4,106.0,4,3,3,4,3,1,1,0.0,1,0.0,764.0,764.0,1,5,1,5,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,8,0,0,4.0,2003.0,2,2.0,474.0,3,3,3,0,27,0,0,0,0,0,0,10,2008,WD ,155000
50,160,3,0.0,2998,1,0,3,1,1,1,1,25,3,3,5,4,6,5,2000,2000,2,1,9,9,2,513.0,4,3,3,4,3,1,6,353.0,1,0.0,403.0,756.0,1,5,1,5,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,8,0,0,6.0,2000.0,1,2.0,440.0,3,3,3,0,32,0,0,0,0,0,0,6,2006,WD ,166000
51,50,6,65.0,7804,1,0,3,1,1,1,1,22,3,3,1,2,4,3,1928,1950,2,1,15,10,3,0.0,3,3,1,3,3,1,4,622.0,1,0.0,500.0,1122.0,1,3,1,5,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,6,2,3,6.0,1981.0,1,2.0,576.0,3,3,3,431,44,0,0,0,3,0,0,12,2009,WD ,135000
52,60,6,80.0,16692,1,0,2,1,1,1,1,20,7,3,1,4,7,5,1978,1978,2,1,10,10,2,184.0,3,3,2,4,3,1,4,790.0,2,469.0,133.0,1392.0,1,3,1,5,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,8,2,3,2.0,1978.0,2,2.0,564.0,3,3,3,0,112,0,0,440,3,1,2000,7,2006,WD ,250000
53,160,8,21.0,1476,1,0,3,1,1,1,1,14,3,3,4,4,4,7,1970,1970,2,1,6,6,3,0.0,3,3,2,3,3,1,6,176.0,1,0.0,370.0,546.0,1,5,1,5,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,8,0,0,7.0,None,0,0.0,0.0,0,0,3,200,26,0,0,0,0,0,0,3,2010,WD ,76000
54,20,6,75.0,10170,1,0,3,1,1,2,1,16,3,3,1,1,6,6,1951,1951,4,1,14,14,2,522.0,3,3,2,3,3,1,1,0.0,1,0.0,216.0,216.0,1,3,1,5,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,8,1,4,2.0,1951.0,1,2.0,400.0,3,3,3,0,0,0,0,0,0,0,0,6,2006,WD ,155000
55,60,6,80.0,9364,1,0,3,1,1,2,1,23,3,3,1,4,6,7,1969,1969,2,1,7,7,4,143.0,3,3,2,3,3,1,5,371.0,1,0.0,292.0,663.0,1,3,1,5,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,8,0,0,2.0,1969.0,3,1.0,299.0,3,3,3,379,36,0,0,0,3,0,0,3,2010,WD ,158000
56,160,3,24.0,2544,1,1,3,1,1,1,1,25,3,3,4,4,7,5,2004,2005,2,1,9,9,3,0.0,4,3,3,4,3,1,6,368.0,5,42.0,190.0,600.0,1,5,1,5,600,600,0,1200,1.0,0.0,2,1,2,1,4,4,8,0,0,6.0,2004.0,2,2.0,480.0,3,3,3,0,172,0,0,0,0,0,0,2,2010,WD ,149500
57,20,6,82.0,9888,1,0,3,1,1,1,1,16,3,3,1,1,5,6,1954,1975,2,1,9,9,3,0.0,3,4,2,3,3,1,4,486.0,1,0.0,450.0,936.0,1,3,1,4,936,0,0,936,0.0,0.0,1,0,2,1,3,5,8,0,0,2.0,1954.0,1,1.0,240.0,3,3,3,0,0,160,0,0,3,0,0,3,2006,WD ,121000
58,20,6,68.0,7942,1,0,3,1,1,1,1,16,3,3,1,1,6,7,1953,1953,4,1,14,14,3,0.0,3,3,2,3,3,1,3,85.0,5,955.0,0.0,1040.0,1,3,1,3,1040,0,0,1040,0.0,1.0,1,0,3,1,3,6,8,0,0,2.0,1953.0,3,1.0,293.0,3,3,3,0,0,0,0,0,3,0,0,6,2007,WD ,136000
59,60,6,0.0,15038,1,0,1,1,1,2,1,9,3,3,1,4,6,5,1996,1996,2,1,7,7,3,0.0,3,3,3,4,3,1,3,138.0,1,0.0,778.0,916.0,1,4,1,5,916,720,0,1636,0.0,0.0,2,1,3,1,3,7,8,1,3,2.0,1996.0,3,2.0,386.0,3,3,3,168,84,0,0,0,0,0,0,11,2008,WD ,173000
60,60,6,92.0,11764,1,0,2,1,1,3,1,17,3,3,1,4,8,7,1999,2007,2,1,13,13,2,348.0,4,3,3,4,3,1,6,524.0,1,0.0,628.0,1152.0,1,5,1,5,1164,1106,0,2270,0.0,0.0,2,1,4,1,4,9,8,1,4,2.0,1999.0,3,3.0,671.0,3,3,3,132,57,0,0,0,0,0,0,4,2010,WD ,290000
61,60,3,75.0,9000,1,0,3,1,1,1,1,25,3,3,1,4,8,5,2007,2007,2,1,6,6,3,0.0,4,3,3,4,3,3,6,64.0,1,0.0,1120.0,1184.0,1,5,1,5,1184,1426,0,2610,0.0,0.0,2,1,4,1,5,11,8,1,4,4.0,2007.0,3,2.0,550.0,3,3,3,208,364,0,0,0,0,0,0,8,2007,New,303477
62,20,6,0.0,20062,1,0,2,4,1,1,2,5,3,3,1,1,7,7,1977,2001,4,1,14,14,3,0.0,4,4,2,4,3,4,5,1092.0,1,0.0,328.0,1420.0,1,4,1,5,1483,0,0,1483,1.0,0.0,1,1,1,1,3,4,8,2,3,2.0,1977.0,2,2.0,690.0,3,3,3,496,0,0,0,0,0,0,0,4,2010,WD ,270000
63,50,8,81.0,7308,1,0,3,1,1,2,1,21,1,3,1,2,5,5,1920,1950,2,1,15,15,3,0.0,2,2,1,3,3,1,3,360.0,1,0.0,576.0,936.0,1,4,0,4,960,780,0,1740,0.0,0.0,1,0,2,1,5,6,8,1,4,6.0,1920.0,1,1.0,225.0,2,2,1,0,0,236,0,0,0,0,0,6,2008,WD ,122250
64,20,6,70.0,8750,1,0,3,1,1,1,1,16,3,3,1,1,5,5,1955,1955,2,1,1,1,3,0.0,3,3,2,3,3,1,3,172.0,2,483.0,727.0,1382.0,1,4,1,4,1382,0,0,1382,0.0,1.0,1,0,3,1,4,6,8,0,0,2.0,1955.0,1,1.0,350.0,3,3,3,280,0,0,0,0,2,0,0,7,2009,WD ,153000
65,20,6,70.0,8402,1,0,3,1,1,1,1,15,2,3,1,1,5,5,2007,2007,2,1,13,13,3,0.0,3,3,3,4,3,1,5,206.0,1,0.0,914.0,1120.0,1,5,1,5,1120,0,0,1120,0.0,0.0,1,0,3,1,3,6,8,0,0,7.0,None,0,0.0,0.0,0,0,3,0,30,0,0,0,0,0,0,12,2007,New,147000
66,70,6,63.0,4000,1,0,3,1,1,1,1,7,3,3,1,4,7,8,1930,1995,2,1,14,14,3,0.0,3,3,1,4,3,1,6,246.0,1,0.0,285.0,531.0,1,3,1,5,567,531,0,1098,1.0,0.0,1,0,2,1,3,5,8,1,4,6.0,1930.0,1,1.0,216.0,3,3,3,0,0,0,0,0,3,0,0,6,2007,WD ,148500
67,160,8,32.0,3363,1,0,3,1,1,1,1,8,3,3,5,4,7,5,2004,2004,2,1,13,13,4,117.0,4,3,3,4,3,1,1,0.0,1,0.0,976.0,976.0,1,5,1,5,976,732,0,1708,0.0,0.0,2,0,3,1,4,7,4,0,0,6.0,2004.0,1,2.0,380.0,3,3,3,0,40,0,0,0,0,0,0,4,2006,WD ,130000
68,20,6,94.0,13615,1,0,2,3,1,2,2,19,3,3,1,1,9,5,2006,2006,4,1,9,9,4,510.0,5,3,3,5,3,4,1,0.0,1,0.0,1802.0,1802.0,1,5,1,5,1802,0,0,1802,0.0,0.0,2,1,3,1,5,7,8,1,4,2.0,2006.0,3,3.0,843.0,3,3,3,158,105,0,0,0,0,0,0,6,2007,WD ,372000
